Date,Patch,Blue,Red,Winner,Loser,Blue_Bans,Red_Bans,Blue_Picks,Red_Picks,Blue_Roster,Red_Roster,Length,Blue_Gold,Blue_Kills,Blue_Towers,Blue_Dragons,Blue_Barons,Blue_RiftHerald,Red_Gold,Red_Kills,Red_Towers,Red_Dragons,Red_Barons,Red_RiftHerald,Diff_Gold,Diff_Kills,Diff_Towers,Diff_Dragons,Diff_Barons,Diff_RiftHerald,Tournament,Match of the Season
2013-04-20,,Team Vulcun,Team Curse,blue,,"Miss Fortune, Volibear, Kassadin","Shen, Thresh, Renekton","Zed, Xerath, Draven, Udyr, Sona","Nunu, Fizz, Tristana, Ezreal, Elise","Sycho Sid,Xmithie,mandatorycloud,Zuna,BloodWater","Voyboy,Saintvicious,NyJacky,Cop,Elementz",35:42,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,112
2013-04-20,,compLexity Gaming,Team MRN,red,,"Renekton, Malphite, Jarvan IV","Kha'Zix, Zed, Amumu","Jayce, Nasus, Gragas, Caitlyn, Thresh","Riven, Shen, Twisted Fate, Twitch, Sona","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat",29:29,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,111
2013-04-20,,Team Dignitas,Team SoloMid,red,,"Thresh, Malphite, Karthus","Gragas, Diana, Shen","Zed, Nasus, Katarina, Draven, Alistar","Renekton, Cho'Gath, Twisted Fate, Miss Fortune, Sona","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial",32:00,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,110
2013-04-20,,Good Game University,Counter Logic Gaming,blue,,"Malphite, Cho'Gath, Shen","Twitch, Karthus, Thresh","Jayce, Elise, Ryze, Tristana, Yorick","Udyr, Jarvan IV, Orianna, Ezreal, Lulu","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin","HotshotGG,Chauster,Link,Doublelift,Aphromoo",34:15,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,109
2013-04-19,,Team Dignitas,Team Vulcun,red,,"Jarvan IV, Karthus, Thresh","Diana, Caitlyn, Shen","Renekton, Volibear, Gragas, Draven, Alistar","Malphite, Nasus, Cassiopeia, Tristana, Sona","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy","Sycho Sid,Xmithie,mandatorycloud,Zuna,BloodWater",39:25,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,108
2013-04-19,,Team SoloMid,Good Game University,blue,,"Riven, Elise, Thresh","Renekton, Draven","Shen, Nocturne, Karthus, Varus, Sona","Jayce, Nasus, Lux, Caitlyn, Janna","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin",38:38,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,107
2013-04-19,,Team Curse,compLexity Gaming,red,,"Zed, Jayce, Shen","Volibear, Thresh, Jarvan IV","Gragas, Udyr, Twisted Fate, Caitlyn, Lulu","Darius, Amumu, Kha'Zix, Miss Fortune, Kayle","Voyboy,Saintvicious,NyJacky,Cop,Elementz","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA",48:08,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,106
2013-04-19,,Team MRN,Counter Logic Gaming,blue,,"Cho'Gath, Nidalee, Shen","Renekton, Riven, Malphite","Irelia, Jarvan IV, Twisted Fate, Tristana, Thresh","Jax, Amumu, Ahri, Vayne, Sona","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat","HotshotGG,Chauster,Link,Doublelift,Aphromoo",42:51,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,105
2013-04-19,,Counter Logic Gaming,Team Vulcun,blue,,"Karthus, Nasus, Diana","Vayne, Malphite, Twisted Fate","Shen, Amumu, Lux, Tristana, Sona","Renekton, Jarvan IV, Ryze, Twitch, Lulu","HotshotGG,Chauster,Link,Doublelift,Aphromoo","Sycho Sid,Xmithie,mandatorycloud,Zuna,BloodWater",38:56,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,104
2013-04-19,,Team Dignitas,Team Curse,blue,,"Jarvan IV, Miss Fortune, Thresh","Diana, Shen, Gragas","Singed, Volibear, Evelynn, Caitlyn, Zyra","Renekton, Nasus, Karthus, Ashe, Sona","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy","Voyboy,Saintvicious,NyJacky,Cop,Elementz",45:07,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,103
